Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,Bicipark Montalban,"Calle de Montalbán, 5",29.74
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",105.83
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,Bicipark Recoletos,"Paseo de Recoletos, 2",204.91
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,Bicipark Montalban,"Calle de Montalbán, 5",205.33
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",210.18
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",210.96
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,Bicipark Montalban,"Calle de Montalbán, 5",217.68
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,Bicipark Recoletos,"Paseo de Recoletos, 2",250.43
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,Bicipark Orense,"Avenida General Perón, 27",265.67
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,Bicipark Recoletos,"Paseo de Recoletos, 2",287.05
Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,301.68
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,Bicipark Orense,"Avenida General Perón, 27",323.06
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,Bicipark Recoletos,"Paseo de Recoletos, 2",324.19
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,Bicipark Almagro,"Calle Almagro, 11",327.59
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",332.03
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",332.03
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,Bicipark Recoletos,"Paseo de Recoletos, 2",334.18
Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,Bicipark Orense,"Avenida General Perón, 27",353.16
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,Bicipark Salamanca,Pl. del Marqués de Salamanca,358.92
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,Bicipark Montalban,"Calle de Montalbán, 5",364.05
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Almagro,"Calle Almagro, 11",367.18
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Almagro,"Calle Almagro, 11",367.18
Oficina de Correos. Sucursal 36. Calle Orense,Instalaciones accesibles NO municipales,Calle Julias Besteiro  Esquina San Germán,Bicipark Orense,"Avenida General Perón, 27",371.54
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",375.33
Estación ferroviaria Madrid - Chamartín - Clara Campoamor,Instalaciones accesibles NO municipales,Calle Agustin De Foxa,Bicipark Recuerdo,"Calle Hiedra, 26",381.95
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,Bicipark Almagro,"Calle Almagro, 11",391.22
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,Bicipark Recoletos,"Paseo de Recoletos, 2",422.11
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",431.22
Ministerio de Defensa. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Paseo Castellana 109,Bicipark Orense,"Avenida General Perón, 27",434.49
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,Bicipark Orense,"Avenida General Perón, 27",436.99
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,Bicipark Almagro,"Calle Almagro, 11",454.52
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,Bicipark Montalban,"Calle de Montalbán, 5",466.59
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,Bicipark Recoletos,"Paseo de Recoletos, 2",482.96
Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,Bicipark Montalban,"Calle de Montalbán, 5",488.39
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,Bicipark Almagro,"Calle Almagro, 11",491.15
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,Bicipark Montalban,"Calle de Montalbán, 5",500.59
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,Bicipark Recoletos,"Paseo de Recoletos, 2",502.72
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",514.85
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,Bicipark Montalban,"Calle de Montalbán, 5",519.67
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,Bicipark Montalban,"Calle de Montalbán, 5",531.1
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,Bicipark Recoletos,"Paseo de Recoletos, 2",537.43
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,Bicipark Montalban,"Calle de Montalbán, 5",540.76
Intercambiador de transporte. Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 40,Bicipark Recuerdo,"Calle Hiedra, 26",542.17
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,Bicipark Recoletos,"Paseo de Recoletos, 2",557.24
Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,Bicipark Salamanca,Pl. del Marqués de Salamanca,559.43
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",560.99
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",566.25
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",567.97
Centro de Día Privado 'Reina Sofía',Instalaciones accesibles NO municipales,Calle Infanta Mercedes 26,Bicipark Orense,"Avenida General Perón, 27",574.03
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,Bicipark Almagro,"Calle Almagro, 11",581.32
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,Bicipark Montalban,"Calle de Montalbán, 5",611.69
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,Bicipark Almagro,"Calle Almagro, 11",627.07
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,Bicipark Montalban,"Calle de Montalbán, 5",629.78
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",644.13
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,Bicipark Recoletos,"Paseo de Recoletos, 2",647.94
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,Bicipark Recoletos,"Paseo de Recoletos, 2",658.25
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",681.89
Aparcamiento público Saba Estación Ferroviaria Madrid Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 34,Bicipark Recuerdo,"Calle Hiedra, 26",682.45
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,Bicipark Recoletos,"Paseo de Recoletos, 2",682.85
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,Bicipark Almagro,"Calle Almagro, 11",694.13
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,Bicipark Montalban,"Calle de Montalbán, 5",694.23
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,Bicipark Montalban,"Calle de Montalbán, 5",695.16
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,Bicipark Recoletos,"Paseo de Recoletos, 2",702.38
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,Bicipark Recoletos,"Paseo de Recoletos, 2",703.07
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,Bicipark Recoletos,"Paseo de Recoletos, 2",706.17
Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Garcia De Paredes 65,Bicipark Almagro,"Calle Almagro, 11",706.7
Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,Bicipark Recoletos,"Paseo de Recoletos, 2",709.39
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",724.8
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,Bicipark Almagro,"Calle Almagro, 11",729.89
Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,Bicipark Orense,"Avenida General Perón, 27",736.91
Museo Tiflológico,Instalaciones accesibles NO municipales,Calle La Coruña 18,Bicipark Orense,"Avenida General Perón, 27",744.29
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,Bicipark Montalban,"Calle de Montalbán, 5",753.2
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,Bicipark Recuerdo,"Calle Hiedra, 26",756.72
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,Bicipark Recoletos,"Paseo de Recoletos, 2",764.93
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,Bicipark Recoletos,"Paseo de Recoletos, 2",779.19
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,Bicipark Salamanca,Pl. del Marqués de Salamanca,781.86
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",784.4
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,Bicipark Montalban,"Calle de Montalbán, 5",786.29
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,Bicipark Montalban,"Calle de Montalbán, 5",790.88
Centro de rehabilitación Orpea Madrid Mirasierra,Instalaciones accesibles NO municipales,Avenida Ventisquero De La Condesa 46 Planta Baja,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",792.08
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Recoletos,"Paseo de Recoletos, 2",795.15
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Recoletos,"Paseo de Recoletos, 2",795.15
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,Bicipark Recoletos,"Paseo de Recoletos, 2",795.44
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",796.05
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,Bicipark Recoletos,"Paseo de Recoletos, 2",810.9
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,Bicipark Salamanca,Pl. del Marqués de Salamanca,813.83
Residencia para personas con discapacidad intelectual gravemente afectadas y centro de día Dos de Mayo,Instalaciones accesibles NO municipales,Calle Oña 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,827.87
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,Bicipark Almagro,"Calle Almagro, 11",827.91
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,Bicipark Recoletos,"Paseo de Recoletos, 2",833.23
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,Bicipark Montalban,"Calle de Montalbán, 5",836.52
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,Bicipark Montalban,"Calle de Montalbán, 5",845.87
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,Bicipark Almagro,"Calle Almagro, 11",850.13
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,Bicipark Montalban,"Calle de Montalbán, 5",850.38
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,Bicipark Almagro,"Calle Almagro, 11",855.58
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,Bicipark Montalban,"Calle de Montalbán, 5",863.47
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,Bicipark Almagro,"Calle Almagro, 11",867.25
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,Bicipark Almagro,"Calle Almagro, 11",868.47
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,870.07
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",874.18
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",883.08
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Mirador De La Reina 4,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",883.5
Oficina de Correos. Sucursal 13. Avenida América,Instalaciones accesibles NO municipales,Avenida América 3,Bicipark Salamanca,Pl. del Marqués de Salamanca,884.68
Intercambiador de transporte. Avenida de América,Instalaciones accesibles NO municipales,Intercambiador Avenida De America,Bicipark Salamanca,Pl. del Marqués de Salamanca,889.39
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,Bicipark Almagro,"Calle Almagro, 11",903.93
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",921.63
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",925.14
Biblioteca del Tribunal de Cuentas,Instalaciones accesibles NO municipales,Calle Jose Ortega Y Gasset 100,Bicipark Salamanca,Pl. del Marqués de Salamanca,929.01
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,Bicipark Almagro,"Calle Almagro, 11",932.64
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,Bicipark Almagro,"Calle Almagro, 11",938.38
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,Bicipark Almagro,"Calle Almagro, 11",942.23
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",946.39
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",947.88
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,Bicipark Recoletos,"Paseo de Recoletos, 2",952.37
Oficina de Correos. Sucursal 09. Calle Mártires Concepcionistas,Instalaciones accesibles NO municipales,Calle Martires Concepcionistas 21,Bicipark Salamanca,Pl. del Marqués de Salamanca,952.99
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,Bicipark Recoletos,"Paseo de Recoletos, 2",959.82
Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,Bicipark Almagro,"Calle Almagro, 11",962.28
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,Bicipark Salamanca,Pl. del Marqués de Salamanca,963.61
Sala de Arte Joven,Instalaciones accesibles NO municipales,Avenida America 13,Bicipark Salamanca,Pl. del Marqués de Salamanca,966.65
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,Bicipark Almagro,"Calle Almagro, 11",973.49
Museo de Historia de la Comunidad Judía de Madrid,Instalaciones accesibles NO municipales,Calle Balmes 3,Bicipark Almagro,"Calle Almagro, 11",976.6
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,Bicipark Recoletos,"Paseo de Recoletos, 2",984.54
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",991.6
Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,Bicipark Salamanca,Pl. del Marqués de Salamanca,993.46
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,Bicipark Montalban,"Calle de Montalbán, 5",1001.35
Oficina de Tramitación del DNI y Pasaporte San Felipe,Instalaciones accesibles NO municipales,Calle San Felipe 7,Bicipark Orense,"Avenida General Perón, 27",1009.18
Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,Bicipark Montalban,"Calle de Montalbán, 5",1028.37
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,Bicipark Almagro,"Calle Almagro, 11",1031.92
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1034.71
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Montalban,"Calle de Montalbán, 5",1036.55
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Montalban,"Calle de Montalbán, 5",1036.55
Colegio Mayor Juan Luis Vives,Instalaciones accesibles NO municipales,Calle Francisco Suarez 7,Bicipark Recuerdo,"Calle Hiedra, 26",1038.39
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,Bicipark Recoletos,"Paseo de Recoletos, 2",1042.99
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,Bicipark Recoletos,"Paseo de Recoletos, 2",1048.52
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1053.02
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,Bicipark Salamanca,Pl. del Marqués de Salamanca,1060.93
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,Bicipark Recoletos,"Paseo de Recoletos, 2",1061.54
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,Bicipark Montalban,"Calle de Montalbán, 5",1068.52
Oficina de Correos. Sucursal 25. Calle Mariano Fernández,Instalaciones accesibles NO municipales,Calle Mariano Fernandez 1,Bicipark Orense,"Avenida General Perón, 27",1068.7
"Centro de día, centro ocupacional y residencia APADEMA",Instalaciones accesibles NO municipales,Calle Moralzarzal 73,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",1073.36
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1074.03
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1074.13
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,Bicipark Montalban,"Calle de Montalbán, 5",1079.25
Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1081.4
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,Bicipark Almagro,"Calle Almagro, 11",1082.28
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,Bicipark Montalban,"Calle de Montalbán, 5",1084.07
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,Bicipark Recoletos,"Paseo de Recoletos, 2",1088.97
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1093.12
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1100.24
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1101.19
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,Bicipark Montalban,"Calle de Montalbán, 5",1101.7
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1106.37
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,Bicipark Salamanca,Pl. del Marqués de Salamanca,1106.39
Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,Bicipark Almagro,"Calle Almagro, 11",1107.94
WiZink Center,Instalaciones accesibles NO municipales,Calle Jorge Juan 99,Bicipark Salamanca,Pl. del Marqués de Salamanca,1112.09
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,Bicipark Montalban,"Calle de Montalbán, 5",1115.49
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,Bicipark Recoletos,"Paseo de Recoletos, 2",1122.68
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Aviación,Parking Aviación Española,1145.82
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Aviación,Parking Aviación Española,1145.82
Museo Nacional de Ciencias Naturales,Instalaciones accesibles NO municipales,Calle Jose Gutierrez Abascal 2,Bicipark Almagro,"Calle Almagro, 11",1159.25
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,Bicipark Recoletos,"Paseo de Recoletos, 2",1161.55
Museo Nacional de Antropología,Instalaciones accesibles NO municipales,Calle Alfonso Xii 68,Bicipark Montalban,"Calle de Montalbán, 5",1161.94
Cine Cinesa Proyecciones,Instalaciones accesibles NO municipales,Calle Fuencarral 136,Bicipark Almagro,"Calle Almagro, 11",1162.91
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,Bicipark Orense,"Avenida General Perón, 27",1172.77
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1176.91
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,Bicipark Recoletos,"Paseo de Recoletos, 2",1177.73
Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1181.42
"Sala de exposiciones Fundación Canal (Mateo Inurria, 2)",Instalaciones accesibles NO municipales,Calle Mateo Inurria 2,Bicipark Recuerdo,"Calle Hiedra, 26",1190.8
Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,Bicipark Orense,"Avenida General Perón, 27",1221.29
Biblioteca Pública del Estado Manuel Alvar  (Salamanca),Instalaciones accesibles NO municipales,Calle Azcona 42,Bicipark Salamanca,Pl. del Marqués de Salamanca,1225.56
Intercambiador de transporte. Plaza de Castilla,Instalaciones accesibles NO municipales,Paseo Castellana 195,Bicipark Recuerdo,"Calle Hiedra, 26",1225.77
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,Bicipark Orense,"Avenida General Perón, 27",1227.49
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,Bicipark Montalban,"Calle de Montalbán, 5",1232.11
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,Bicipark Montalban,"Calle de Montalbán, 5",1237.89
