Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address
Biblioteca del Tribunal de Cuentas,Instalaciones accesibles NO municipales,Calle Jose Ortega Y Gasset 100,929.01,Bicipark Salamanca,Pl. del Marqués de Salamanca
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,845.87,Bicipark Montalban,"Calle de Montalbán, 5"
Capilla de San Isidro,Instalaciones accesibles NO municipales,Calle Aguila 1,2479.06,Bicipark Recoletos,"Paseo de Recoletos, 2"
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,1837.85,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,364.05,Bicipark Montalban,"Calle de Montalbán, 5"
Centro Concertado de Atención a las Adicciones (CCAD) Casa de Campo (Cruz Roja),Instalaciones accesibles NO municipales,Avenida Portugal,3533.61,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,779.19,Bicipark Recoletos,"Paseo de Recoletos, 2"
Centro de Día Privado 'Casa de las Flores',Instalaciones accesibles NO municipales,Calle Rodriguez San Pedro 72,2647.79,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Centro de Día Privado 'DomusVi Albufera',Instalaciones accesibles NO municipales,Calle Sierra De Alcubierre 8,3875.64,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,2204.51,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de Día Privado 'Florencia',Instalaciones accesibles NO municipales,Calle Florencia 24,6605.41,Bicipark Salamanca,Pl. del Marqués de Salamanca
Centro de Día Privado 'Los Nogales Hortaleza',Instalaciones accesibles NO municipales,Calle Alcobendas 12,2535.5,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Centro de Día Privado 'Muguet',Instalaciones accesibles NO municipales,Calle Muguet 7,4415.08,Bicipark Aviación,Parking Aviación Española
Centro de Día Privado 'Reina Sofía',Instalaciones accesibles NO municipales,Calle Infanta Mercedes 26,574.03,Bicipark Orense,"Avenida General Perón, 27"
Centro de Día Privado 'Sanivida Arganzuela',Instalaciones accesibles NO municipales,Calle Puerto De La Cruz Verde 14 Planta Bajo,3519.64,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,962.28,Bicipark Almagro,"Calle Almagro, 11"
Centro de Día Privado 'Trébol',Instalaciones accesibles NO municipales,Calle Palomares 71,8255.75,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,1145.82,Bicipark Aviación,Parking Aviación Española
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,1426.2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,Instalaciones accesibles NO municipales,Calle Mar Amarillo 21,2694.72,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Centro de Natación Mundial 86 (M - 86),Instalaciones accesibles NO municipales,Calle Jose Martinez De Velasco 3,2120.33,Bicipark Salamanca,Pl. del Marqués de Salamanca
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,855.58,Bicipark Almagro,"Calle Almagro, 11"
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 15 Delicias - Usera,Instalaciones accesibles NO municipales,Calle Amor Hermoso 52 Y 54,4005.81,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 4 Vallecas,Instalaciones accesibles NO municipales,Calle Picos De Europa 49,4473.02,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 5 Ciudad Lineal,Instalaciones accesibles NO municipales,Calle Miguel Fleta 3,5239.14,Bicipark Salamanca,Pl. del Marqués de Salamanca
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 7 Carabanchel,Instalaciones accesibles NO municipales,Avenida Pedro Diez 19,5372.95,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 8 Villaverde,Instalaciones accesibles NO municipales,Avenida Real De Pinto 7 Y 9,7952.73,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de donación de sangre de Cruz Roja,Instalaciones accesibles NO municipales,Calle Juan Montalvo 3,1878.71,Bicipark Orense,"Avenida General Perón, 27"
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,1082.28,Bicipark Almagro,"Calle Almagro, 11"
Centro de día Argüelles,Instalaciones accesibles NO municipales,Calle Andres Mellado 31,2449.34,Bicipark Almagro,"Calle Almagro, 11"
Centro de día Funprodami,Instalaciones accesibles NO municipales,Calle Garcia Miranda 4,4909.8,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de día San Alfonso,Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 75 Planta Bajo,4988.67,Bicipark Montalban,"Calle de Montalbán, 5"
Centro de día para mayores Saraiva,Instalaciones accesibles NO municipales,Calle Fundadores 10,1477.39,Bicipark Salamanca,Pl. del Marqués de Salamanca
Centro de día y centro de rehabilitación Fundación Manantial para personas con trastorno mental grave de Barajas,Instalaciones accesibles NO municipales,Plaza Hermanos Falco Y Alvarez De Toledo 1,9564.14,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Centro de día y centro ocupacional para la atención al funcionamiento de personas con patología dual Pardo Valcarce,Instalaciones accesibles NO municipales,Calle Monasterio De Las Huelgas 15,2023.56,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Centro de día y residencia Medinaceli para personas con discapacidad intelectual,Instalaciones accesibles NO municipales,Calle Estudiantes 3,2191.72,Bicipark Orense,"Avenida General Perón, 27"
"Centro de día, centro ocupacional y residencia APADEMA",Instalaciones accesibles NO municipales,Calle Moralzarzal 73,1073.36,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Centro de enseñanza CESUR - Madrid II,Instalaciones accesibles NO municipales,Calle Albarracin 27,5236.55,Bicipark Salamanca,Pl. del Marqués de Salamanca
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,1983.07,Bicipark Almagro,"Calle Almagro, 11"
Centro de rehabilitación Orpea Madrid Mirasierra,Instalaciones accesibles NO municipales,Avenida Ventisquero De La Condesa 46 Planta Baja,792.08,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Centro de rehabilitación y recuperación y residencia Medinaceli,Instalaciones accesibles NO municipales,Calle Ramirez Tome 38,5886.44,Bicipark Salamanca,Pl. del Marqués de Salamanca
Centro ocupacional y residencia Carabanchel,Instalaciones accesibles NO municipales,Calle General Ricardos 177,5269.72,Bicipark Aviación,Parking Aviación Española
Centro ocupacional y residencia Fundación ALAS Madrid,Instalaciones accesibles NO municipales,Calle Encomienda De Palacios 235,6048.14,Bicipark Salamanca,Pl. del Marqués de Salamanca
Cine Cinesa Las Rosas,Instalaciones accesibles NO municipales,Avenida Guadalajara 2,6456.77,Bicipark Salamanca,Pl. del Marqués de Salamanca
Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,301.68,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Cine Cinesa Méndez Álvaro,Instalaciones accesibles NO municipales,Calle Acanto 2,2944.49,Bicipark Montalban,"Calle de Montalbán, 5"
Cine Cinesa Proyecciones,Instalaciones accesibles NO municipales,Calle Fuencarral 136,1162.91,Bicipark Almagro,"Calle Almagro, 11"
Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,2644.45,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Club Deportivo Somontes,Instalaciones accesibles NO municipales,Carretera El Pardo 43,3624.9,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Colegio Comunidad Infantil Villaverde,Instalaciones accesibles NO municipales,Calle Villastar 10,8649.93,Bicipark Montalban,"Calle de Montalbán, 5"
Colegio Diocesano Cristo de la Guía,Instalaciones accesibles NO municipales,Calle Ezcaray 3,7636.96,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio El Valle II,Instalaciones accesibles NO municipales,Calle Ana De Austria 60,2041.05,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Colegio Internacional J.H. Newman,Instalaciones accesibles NO municipales,Avenida Guadalajara 28,7168.11,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Jesús María. Calle Hermanos García Noblejas 68,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 68,5210.76,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Juan de Valdés,Instalaciones accesibles NO municipales,Avenida Canillejas A Vicalvaro 135,7724.63,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio La Salle-La Paloma - Fundación Lara,Instalaciones accesibles NO municipales,Calle Paloma 21,2576.28,Bicipark Recoletos,"Paseo de Recoletos, 2"
Colegio Liceo Sorolla B,Instalaciones accesibles NO municipales,Calle Nueva Zelanda 21,3291.61,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Colegio Mayor Alcor,Instalaciones accesibles NO municipales,Calle General Ampudia 7,2617.16,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Aquinas (Santo Tomás de Aquino),Instalaciones accesibles NO municipales,Calle Leonardo Prieto Castro 6,3118.78,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Chaminade,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 9,2729.43,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Fundación SEPI,Instalaciones accesibles NO municipales,Avenida Gregorio Del Amo 2,2861.36,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Juan Luis Vives,Instalaciones accesibles NO municipales,Calle Francisco Suarez 7,1038.39,Bicipark Recuerdo,"Calle Hiedra, 26"
Colegio Mayor Juan XXIII Roncalli,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 3,2728.29,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Loyola,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 17,2420.12,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Marqués de la Ensenada,Instalaciones accesibles NO municipales,Avenida Seneca 18,4552.39,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Colegio Mayor Nuestra Señora de Guadalupe,Instalaciones accesibles NO municipales,Avenida Seneca 4,3707.59,Bicipark Almagro,"Calle Almagro, 11"
Colegio Mayor Nuestra Señora de África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 8,3150.01,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Padre Poveda,Instalaciones accesibles NO municipales,Calle Isaac Peral 60,3016.04,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Santa María del Pino,Instalaciones accesibles NO municipales,Paseo San Francisco De Sales 13,2836.39,Bicipark Almagro,"Calle Almagro, 11"
Colegio Mayor Santa Teresa de Jesús,Instalaciones accesibles NO municipales,Avenida Seneca 12,4237.92,Bicipark Almagro,"Calle Almagro, 11"
Colegio Mayor Universitario San Agustín,Instalaciones accesibles NO municipales,Travesia Antonio Nebrija 4,3938.22,Bicipark Almagro,"Calle Almagro, 11"
Colegio Mayor Universitario San Pablo,Instalaciones accesibles NO municipales,Calle Isaac Peral 58,3007.13,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor Vedruna,Instalaciones accesibles NO municipales,Glorieta Presidente Garcia Moreno 2,2492.38,Bicipark Orense,"Avenida General Perón, 27"
Colegio Mayor África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 2,2621.26,Bicipark Orense,"Avenida General Perón, 27"
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,560.99,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,436.99,Bicipark Orense,"Avenida General Perón, 27"
Colegio Público Arquitecto Gaudí,Instalaciones accesibles NO municipales,Calle Rosa Jardon 10,1347.36,Bicipark Recuerdo,"Calle Hiedra, 26"
Colegio Público Ciudad de Jaén,Instalaciones accesibles NO municipales,Calle Madre Rosa Blanco 3,5203.89,Bicipark Montalban,"Calle de Montalbán, 5"
Colegio Público Escuelas Bosque,Instalaciones accesibles NO municipales,Avenida Santo Angel De La Guarda 4,2184.45,Bicipark Orense,"Avenida General Perón, 27"
Colegio Público Felipe II,Instalaciones accesibles NO municipales,Avenida Asturias 70,2278.6,Bicipark Recuerdo,"Calle Hiedra, 26"
Colegio Público Fernando el Católico,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 16,1926.4,Bicipark Almagro,"Calle Almagro, 11"
Colegio Público Fontarrón,Instalaciones accesibles NO municipales,Calle Arroyo Fontarron 24,6420.61,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,681.89,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,2925.51,Bicipark Orense,"Avenida General Perón, 27"
Colegio Público Legado Crespo,Instalaciones accesibles NO municipales,Paseo Acacias 2,2085.81,Bicipark Montalban,"Calle de Montalbán, 5"
Colegio Público Leopoldo Alas,Instalaciones accesibles NO municipales,Calle Pedrezuela 18,2880.4,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público Loyola de Palacio,Instalaciones accesibles NO municipales,Calle Embalse De Navacerrada 60,11883.83,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público Luis Bello,Instalaciones accesibles NO municipales,Calle Luis Cabrera 66,1614.82,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público Marqués de Suanzes,Instalaciones accesibles NO municipales,Avenida Veinticinco De Septiembre 1,6255.87,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público Martínez Montañés,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 223,5957.02,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público Méjico (México),Instalaciones accesibles NO municipales,Avenida Badajoz 74,3487.07,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público Nuestra Señora de la Paloma,Instalaciones accesibles NO municipales,Calle Tabernillas 2,2371.2,Bicipark Recoletos,"Paseo de Recoletos, 2"
Colegio Público Parque Aluche,Instalaciones accesibles NO municipales,Calle Quero 47,2660.71,Bicipark Aviación,Parking Aviación Española
Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,3138.19,Bicipark Aviación,Parking Aviación Española
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,358.92,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público San Juan de la Cruz,Instalaciones accesibles NO municipales,Calle Honduras 10,1435.65,Bicipark Recuerdo,"Calle Hiedra, 26"
Colegio Público Tomás Bretón,Instalaciones accesibles NO municipales,Calle Alejandro Dumas 4,3382.28,Bicipark Montalban,"Calle de Montalbán, 5"
Colegio Público Virgen del Cerro,Instalaciones accesibles NO municipales,Calle Mohernando 1,5087.3,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público de Educación Especial Francisco del Pozo,Instalaciones accesibles NO municipales,Callejon Domine 6,2580.47,Bicipark Recuerdo,"Calle Hiedra, 26"
Colegio Público de Educación Especial Fundación Goyeneche,Instalaciones accesibles NO municipales,Calle Arcos De Jalon 22,6564.59,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,3322.45,Bicipark Aviación,Parking Aviación Española
Colegio Sagrado Corazón. Avenida Alfonso XIII.,Instalaciones accesibles NO municipales,Avenida Alfonso Xiii 127,1639.68,Bicipark Recuerdo,"Calle Hiedra, 26"
Colegio Santa María la Blanca,Instalaciones accesibles NO municipales,Calle Monasterio De Oseira 17,3521.25,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Colegio Santo Domingo Savio,Instalaciones accesibles NO municipales,Calle Santo Domingo Savio 2,4980.9,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,1221.29,Bicipark Orense,"Avenida General Perón, 27"
Colegio Stella Maris La Gavia,Instalaciones accesibles NO municipales,Calle Peñaranda De Bracamonte 9,10377.98,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Tajamar,Instalaciones accesibles NO municipales,Calle Pio Felipe 12,4948.32,Bicipark Salamanca,Pl. del Marqués de Salamanca
Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,3993.5,Bicipark Aviación,Parking Aviación Española
Comisaría de Policía (Carabanchel),Instalaciones accesibles NO municipales,Calle Padre Amigo 3,4892.97,Bicipark Aviación,Parking Aviación Española
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,756.72,Bicipark Recuerdo,"Calle Hiedra, 26"
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Ciudad Lineal),Instalaciones accesibles NO municipales,Travesia Virgen De La Roca 25 Posterior,2596.78,Bicipark Salamanca,Pl. del Marqués de Salamanca
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Mirador De La Reina 4,883.5,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),Instalaciones accesibles NO municipales,Calle Javier Del Quinto,2930.22,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina),Instalaciones accesibles NO municipales,Avenida Poblados 51,2926.44,Bicipark Aviación,Parking Aviación Española
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (San Blas - Canillejas),Instalaciones accesibles NO municipales,Calle Alberique 20,7057.72,Bicipark Salamanca,Pl. del Marqués de Salamanca
Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2),Instalaciones accesibles NO municipales,Calle Primitiva Gañan 6,4649.15,Bicipark Montalban,"Calle de Montalbán, 5"
Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Carretera El Pardo 41,3402.99,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,702.38,Bicipark Recoletos,"Paseo de Recoletos, 2"
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,682.85,Bicipark Recoletos,"Paseo de Recoletos, 2"
Consorcio Regional de Transportes Públicos Regulares de Madrid,Instalaciones accesibles NO municipales,Plaza Descubridor Diego De Ordas 3 Planta Baja,1416.19,Bicipark Almagro,"Calle Almagro, 11"
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,581.32,Bicipark Almagro,"Calle Almagro, 11"
Delegación Especial de Madrid. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,2235.36,Bicipark Orense,"Avenida General Perón, 27"
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,1172.77,Bicipark Orense,"Avenida General Perón, 27"
Escuela Infantil Betaria,Instalaciones accesibles NO municipales,Calle Padre Rubio 14,1480.31,Bicipark Recuerdo,"Calle Hiedra, 26"
Escuela Infantil Conde de Elda,Instalaciones accesibles NO municipales,Calle Ponferrada 16,2742.27,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,4384.01,Bicipark Salamanca,Pl. del Marqués de Salamanca
Escuela Infantil Pequeño Koala,Instalaciones accesibles NO municipales,Camino Viejo De Vicalvaro 20,7655.82,Bicipark Salamanca,Pl. del Marqués de Salamanca
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,1042.99,Bicipark Recoletos,"Paseo de Recoletos, 2"
Espacio para mayores Las Tablas,Instalaciones accesibles NO municipales,Avenida Camino De Santiago 39,6455.1,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Estación Sur de Autobuses de Madrid,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,2905.07,Bicipark Montalban,"Calle de Montalbán, 5"
Estación ferroviaria Madrid - Chamartín - Clara Campoamor,Instalaciones accesibles NO municipales,Calle Agustin De Foxa,381.95,Bicipark Recuerdo,"Calle Hiedra, 26"
Estación ferroviaria Madrid Puerta de Atocha,Instalaciones accesibles NO municipales,Plaza Emperador Carlos V,1308.65,Bicipark Montalban,"Calle de Montalbán, 5"
Fuente de San Isidro,Instalaciones accesibles NO municipales,Paseo Ermita Del Santo 72,4327.83,Bicipark Recoletos,"Paseo de Recoletos, 2"
"Fundación Síndrome de Down, centro ocupacional Tres olivos",Instalaciones accesibles NO municipales,Calle Cueva De Montesinos 45,3388.34,Bicipark Recuerdo,"Calle Hiedra, 26"
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,210.96,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Hipódromo de la Zarzuela,Instalaciones accesibles NO municipales,Avenida Padre Huidobro  S/N Carretera De La Coruña Km. 8,4931.05,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Instalación Deportiva Canal de Isabel II,Instalaciones accesibles NO municipales,Avenida Filipinas 54,1779.64,Bicipark Orense,"Avenida General Perón, 27"
Instalación Deportiva San Vicente de Paúl,Instalaciones accesibles NO municipales,Calle Pelicano 4,5480.25,Bicipark Montalban,"Calle de Montalbán, 5"
Instalación deportiva para mayores Concepción Arenal,Instalaciones accesibles NO municipales,Calle Javier Del Quinto 12 Está Ubicado Dentro Del Centro De Servicios Sociales “Concepción Arenal”,3080.76,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Instituto de Educación Secundaria (IES) Antonio Domínguez Ortiz,Instalaciones accesibles NO municipales,Calle Andaluces 36,6697.14,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Antonio Machado,Instalaciones accesibles NO municipales,Calle Alfonso Fernandez 25,3667.56,Bicipark Aviación,Parking Aviación Española
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,1643.41,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Barajas,Instalaciones accesibles NO municipales,Avenida America 119,8068.22,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Instituto de Educación Secundaria (IES) Barrio de Bilbao,Instalaciones accesibles NO municipales,Calle Villaescusa 20,5510.49,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Celestino Mutis,Instalaciones accesibles NO municipales,Calle Huerta De Villaverde 15,8164.84,Bicipark Montalban,"Calle de Montalbán, 5"
Instituto de Educación Secundaria (IES) Ciudad Escolar,Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 12.800,5222.06,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Instituto de Educación Secundaria (IES) Ciudad de Jaén,Instalaciones accesibles NO municipales,Camino Rio 5,5279.77,Bicipark Montalban,"Calle de Montalbán, 5"
Instituto de Educación Secundaria (IES) Conde de Orgaz,Instalaciones accesibles NO municipales,Calle Napoles 56,3289.31,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Instituto de Educación Secundaria (IES) Eijo y Garay,Instalaciones accesibles NO municipales,Calle Severino Aznar Embid 6,5274.27,Bicipark Recoletos,"Paseo de Recoletos, 2"
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,491.15,Bicipark Almagro,"Calle Almagro, 11"
Instituto de Educación Secundaria (IES) Francisco Ayala,Instalaciones accesibles NO municipales,Calle Jacobeo 33,3218.24,Bicipark Aviación,Parking Aviación Española
Instituto de Educación Secundaria (IES) García Morato,Instalaciones accesibles NO municipales,Calle General Saliquet 34,2050.26,Bicipark Aviación,Parking Aviación Española
Instituto de Educación Secundaria (IES) Gregorio Marañón,Instalaciones accesibles NO municipales,Avenida El Ferrol 43,2920.54,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Instituto de Educación Secundaria (IES) Isaac Newton,Instalaciones accesibles NO municipales,Calle Joaquin Lorenzo 2,2561.13,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Instituto de Educación Secundaria (IES) Iturralde,Instalaciones accesibles NO municipales,Calle Nuestra Señora De La Luz 53,3624.21,Bicipark Aviación,Parking Aviación Española
Instituto de Educación Secundaria (IES) Joaquín Rodrigo,Instalaciones accesibles NO municipales,Calle Casalarreina 28,7637.92,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Juana de Castilla,Instalaciones accesibles NO municipales,Calle Valdebernardo 3,6245.67,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Manuel Fraga Iribarne,Instalaciones accesibles NO municipales,Avenida Niceto Alcala Zamora 54,1786.39,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Instituto de Educación Secundaria (IES) María Rodrigo,Instalaciones accesibles NO municipales,"Calle Talamanca Del Jarama, Esquina Granja De San Ildefonso",9687.75,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Diego De Valderrabano 35,3106.21,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Nuestra Señora de la Almudena,Instalaciones accesibles NO municipales,Plaza Remonta 17,1328.35,Bicipark Orense,"Avenida General Perón, 27"
Instituto de Educación Secundaria (IES) Numancia,Instalaciones accesibles NO municipales,Calle Las Marismas 14,4168.14,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Parque Aluche,Instalaciones accesibles NO municipales,Calle Maqueda 86,2331.83,Bicipark Aviación,Parking Aviación Española
Instituto de Educación Secundaria (IES) Pedro Salinas,Instalaciones accesibles NO municipales,Calle General Marva 24,3840.4,Bicipark Montalban,"Calle de Montalbán, 5"
Instituto de Educación Secundaria (IES) Príncipe Felipe,Instalaciones accesibles NO municipales,Calle Finisterre 60,2859.31,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Instituto de Educación Secundaria (IES) Renacimiento,Instalaciones accesibles NO municipales,Calle Castellflorite 4,5171.29,Bicipark Aviación,Parking Aviación Española
Instituto de Educación Secundaria (IES) Salvador Dalí,Instalaciones accesibles NO municipales,Calle Verdaguer Y Garcia 2,2746.87,Bicipark Salamanca,Pl. del Marqués de Salamanca
